user_question,ratio,partial_ratio,token_set_ratio,partial_token_set_ratio,token_sort_ratio,partial_token_sort_ratio,token_ratio,partial_token_ratio,WRatio
"Boa tarde, gostaria de saber se teremos oficinas referente a ferramenta do SIPLAG, seja quanto ao preenchimento do PPA ou PLOA, desde já agradeço.
","('Qual a melhor forma de saber se meu produto irá produzir resultados relevantes para a sociedade?',)","('Quais são as etapas do monitoramento do PPA?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Qual o site da Redeplan?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a relação entre PPA, LDO e LOA?',)"
" ainda sobre a questão dos ASPLOs. Nas indiretas não é necessário a criação, pelo que vi no art.2º. Que isso fica a critério da administração. 
Dúvida, caso opte-se pela criação, a unidade deve observar na sua estrutura a supressão ou alteração de outros cargos já existentes  para não haver aumento de despesas? Entendo inicialmente que sim, mas isso só é mencionado no art. 1º e não no início do decreto. Se esse for o caso, poderíamos só ter a publicação dos integrantes da REDOR e REDEPLAN, é isso? e portanto os atuais ponto focais seriam esses membros e/ou poderiam ter mais indicações conforme consta no art.13  § 4º??

","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('O que são as ASPLOs?',)","('O que são as ASPLOs?',)","('O que é o Plano Plurianual?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('O que é o Plano Plurianual?',)","('O que são as ASPLOs?',)","('O que é o Plano Plurianual?',)","('Que elementos devem conter em um iniciativa associada à um Programa de Serviços à Sociedade?',)"
"No caso das indiretas, caso se opte pela criação do ASPLO, também eh preciso haver publicação no DOERJ,certo?","('Quais elementos devo usar para estruturar a minha descrição de gasto? O que define a descrição de gasto?',)","('O que não posso incluir na proposta de revisão do PPA?',)","('Por que iniciativas associadas a programas de serviços ao Estado não tem indicadores?',)","('Que diretrizes devem ser seguidas no Plano Plurianual?',)","('Qual a diferença entre a atividade de adequação de metas e o processo de revisão?',)","('O que são as ASPLOs?',)","('Por que iniciativas associadas a programas de serviços ao Estado não tem indicadores?',)","('Que diretrizes devem ser seguidas no Plano Plurianual?',)","('Que diretrizes devem ser seguidas no Plano Plurianual?',)"
"Boa tarde, prezados.
Em cumprimento só Decreto 48.413/2023, para criação da assessoria de planejamento.
Basta a publicação no Diário Oficial da indicação, conf ART 13 parágrafo 4°?","('Quais elementos devo usar para estruturar a minha descrição de gasto? O que define a descrição de gasto?',)","('O que é uma Unidade de Planejamento (UP)? ',)","('O que é a Rede de Planejamento (Redeplan)?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Quais as datas de abertura e finalização da atividade de adequação de metas para 2024 do Plano Plurianual 2024-2027?',)","('O que é a Rede de Planejamento (Redeplan)?',)","('O que é a Rede de Planejamento (Redeplan)?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a relação entre PPA, LDO e LOA?',)"
"Bom dia. Na administração  indireta a suplente pode ser de nível médio  ou também  tem que ter nível  superior?

","('Como registrar o monitoramento de indicadores com periodicidade semestral ou menor?',)","('Que elementos devem conter na denominação de um indicador?',)","('Por que iniciativas associadas a programas de serviços ao Estado não tem indicadores?',)","('O que é o Plano Plurianual?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Como definir a linha de base e as metas de um indicador?',)","('Por que iniciativas associadas a programas de serviços ao Estado não tem indicadores?',)","('O que é o Plano Plurianual?',)","('O que é o Plano Plurianual?',)"
"Quanto ao decreto, aqui temos uma assessoria de planejamento e gestão. Precisamos fazer a resolução que foi publicado o modelo no DO de 23/03?

","('Quando devo informar os resultados alcançados pelos indicadores de resultado do meu órgão?',)","('O que é uma Unidade de Planejamento (UP)? ',)","('O que é uma Unidade de Planejamento (UP)? ',)","('O que é o Plano Plurianual?',)","('Como acessar o Sistema de Inteligência em Planejamento e Gestão (Siplag)?',)","('O que é uma Unidade de Planejamento (UP)? ',)","('O que é uma Unidade de Planejamento (UP)? ',)","('O que é o Plano Plurianual?',)","('O que é o Plano Plurianual?',)"
"Boa tarde, alguém tem a minuta de resolução  do Anexo Único do decreto 48.413?
Boa tarde. Estou com dúvidas referente ao Decreto 48413.","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Qual o site da Redeplan?',)","('Qual a melhor forma de saber se meu produto irá produzir resultados relevantes para a sociedade?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a diferença entre a atividade de adequação de metas e o processo de revisão?',)","('Como definir a linha de base e as metas de um indicador?',)","('Qual a melhor forma de saber se meu produto irá produzir resultados relevantes para a sociedade?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a relação entre PPA, LDO e LOA?',)"
"Aqui na EMATER já temos essa Assessoria a bastante tempo
Como devemos proceder com relação às indicações. Necessario alguma publicação  ou pode ser por email as indicações como fazemos todo ano
Evelise, como você está numa entidade da administração indireta, sim, basta fazer a indicação por e-mail, como todos os anos. Contudo, há parâmetros inclusive para estas indicações, conforme parágrafo 2º do Art. 13
","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Em relação aos indicadores, que tipo de informação precisa ser registrada?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('O que é o indicador de iniciativa?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Que diretrizes devem ser seguidas no Plano Plurianual?',)"
"Continuo com as 2 Redes com indicação em ambas como temos até agora
","('Posso repetir um indicador em mais de uma iniciativa?',)","('Como elaborar um indicador de Programa?',)","('Como definir a linha de base e as metas de um indicador?',)","('Como os Programas do Plano Plurianual estão classificados?',)","('Como definir a linha de base e as metas de um indicador?',)","('Como definir a linha de base e as metas de um indicador?',)","('Como definir a linha de base e as metas de um indicador?',)","('Como os Programas do Plano Plurianual estão classificados?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)"
"Uma dúvida quanto a esse decreto, quando o ""Art. 3º - Deverão ser designados como titulares das ASPLOS, preferencialmente, servidores públicos efetivos da carreira de Especialista
em Políticas Públicas e Gestão Governamental, Planejamento e Orçamento - EPPGGPO, de que trata a Lei Estadual 5.355, de 23 de
dezembro de 2008""
Nada impede que seja indicado um ""não-servidor"" correto?

","('As informações do meu indicador estão desatualizadas. Posso solicitar alterações do indicador no momento do monitoramento?',)","('O que são as ASPLOs?',)","('O que é uma Unidade de Planejamento (UP)? ',)","('O que é o Plano Plurianual?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('O que é o indicador de iniciativa?',)","('O que é uma Unidade de Planejamento (UP)? ',)","('O que é o Plano Plurianual?',)","('Que diretrizes devem ser seguidas no Plano Plurianual?',)"
Talvez seja melhor só indicar mesmo os integrantes da REDEPLAN e REDOR,"('Quais são as atribuições dos integrantes setoriais?',)","('Qual o site da Redeplan?',)","('Qual o site da Redeplan?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Como saber qual o melhor indicador para a minha iniciativa?',)","('Qual o site da Redeplan?',)","('Qual o site da Redeplan?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a relação entre PPA, LDO e LOA?',)"
"Disseram aqui anteriormente que, com a edição do Decreto 48413/2023, é necessária a publicação em Diário Oficial do titular e suplente da Redeplan e da Redor, segundo Art. 13, Parágrafo 2º, Inciso II (alíneas a e b)
","('Quais critérios devo considerar ao revisar e definir as novas metas de entregas e resultados para 2025?',)","('Qual o site da Redeplan?',)","('Qual o site da Redeplan?',)","('O que é o Plano Plurianual?',)","('Quais as datas de abertura e finalização da atividade de adequação de metas para 2024 do Plano Plurianual 2024-2027?',)","('Qual o site da Redeplan?',)","('Qual o site da Redeplan?',)","('O que é o Plano Plurianual?',)","('Qual a relação entre PPA, LDO e LOA?',)"
" Sim, to alinhando td aqui pra sanar todas as dúvidas e preparar aqui do órgão, que pelo menos não precisa criar asplo","('Qual a diferença entre a atividade de adequação de metas e o processo de revisão?',)","('Como formalizar uma ASPLO?',)","('Por que iniciativas associadas a programas de serviços ao Estado não tem indicadores?',)","('O que é o Plano Plurianual?',)","('Quando devo informar os resultados alcançados pelos indicadores de resultado do meu órgão?',)","('O que são as ASPLOs?',)","('Por que iniciativas associadas a programas de serviços ao Estado não tem indicadores?',)","('O que é o Plano Plurianual?',)","('O que é o Plano Plurianual?',)"
"Bom dia, preciso tirar uma dúvida!! Quanto a publicação da RIPLO, preciso citar os nomes dos representantes na Portaria?","('Como registrar o monitoramento de indicadores com periodicidade semestral ou menor?',)","('Não tenho acesso ao SIPLAG. Como solicitar?',)","('Quando devo informar os resultados alcançados pelos indicadores de resultado do meu órgão?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a melhor forma de saber se meu produto irá produzir resultados relevantes para a sociedade?',)","('Como formalizar uma ASPLO?',)","('Quando devo informar os resultados alcançados pelos indicadores de resultado do meu órgão?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a relação entre PPA, LDO e LOA?',)"
"Tem tbm a dúvida qt ao art.3 se devemos indicar:
-nomes dos representantes das áreas finalísticas
-governança
-responsável exec. Orçamentária","('Quais critérios devo considerar ao revisar e definir as novas metas de entregas e resultados para 2025?',)","('Uma iniciativa pode ter quatas ações orçamentárias?',)","('Por que iniciativas associadas a programas de serviços ao Estado não tem indicadores?',)","('Qual a relação entre PPA, LDO e LOA?',)","('As informações do meu indicador estão desatualizadas. Posso solicitar alterações do indicador no momento do monitoramento?',)","('O que é um indicador de Programa?',)","('As informações do meu indicador estão desatualizadas. Posso solicitar alterações do indicador no momento do monitoramento?',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a relação entre PPA, LDO e LOA?',)"
"Bom dia. Também tenho dúvidas.  Sou indireta. Devo fazer as indicações e publicar ou basta as indicações e encaminhar sem publicação.

","('Para a atividade de revisão, qual momento devo inserir as informações no SIPLAG? ',)","('Uma iniciativa pode ter quantos indicadores?',)","('Para a atividade de revisão, qual momento devo inserir as informações no SIPLAG? ',)","('Qual a relação entre PPA, LDO e LOA?',)","('Para a atividade de revisão, qual momento devo inserir as informações no SIPLAG? ',)","('Como definir a linha de base e as metas de um indicador?',)","('Para a atividade de revisão, qual momento devo inserir as informações no SIPLAG? ',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a relação entre PPA, LDO e LOA?',)"
"Sou indireta e TB tinha entendido q não precisava publicar, porém precisa. Então peguei os mesmos nomes que seriam os pontos focais ( titular e suplente) para PPA, PIERJ e Indicadores para redeplan e os pontos focais do PCA, POD...para redor. Enviei para o gabinete da presidência nossas comprovaçoes de qualificação e foi.
Bom dia, como o atendimento ao Decreto 48.413/23 está gerando muitas dúvidas, principalmente para as indiretas, não seria possível a Seplag nos enviar um passo a passo para podermos atende-lo plenamente, sem erros de Interpretação? É só uma sugestão!
","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Qual o site da Redeplan?',)","('Qual o site da Redeplan?',)","('O que é o Plano Plurianual?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('Qual o site da Redeplan?',)","('Qual o site da Redeplan?',)","('O que é o Plano Plurianual?',)","('Que elementos devem conter em um iniciativa associada à um Programa de Serviços à Sociedade?',)"
Bom dia. Também tenho dúvidas.  Sou indireta. Devo fazer as indicações e publicar ou basta as indicações e encaminhar sem publicação?,"('Para a atividade de revisão, qual momento devo inserir as informações no SIPLAG? ',)","('Uma iniciativa pode ter quantos indicadores?',)","('Para a atividade de revisão, qual momento devo inserir as informações no SIPLAG? ',)","('Qual a relação entre PPA, LDO e LOA?',)","('Para a atividade de revisão, qual momento devo inserir as informações no SIPLAG? ',)","('Como definir a linha de base e as metas de um indicador?',)","('Para a atividade de revisão, qual momento devo inserir as informações no SIPLAG? ',)","('Qual a relação entre PPA, LDO e LOA?',)","('Qual a relação entre PPA, LDO e LOA?',)"
Bom dia. Qual o prazo para encaminhar os dados do primeiro quadrimestre do PPA 2024?,"('Qual a data de abertura do monitoramento do 1º quadrimestre de 2024?',)","('Qual a data de abertura do monitoramento do 1º quadrimestre de 2024?',)","('Qual a data de abertura do monitoramento do 1º quadrimestre de 2024?',)","('O que é o Plano Plurianual?',)","('Qual a data de abertura do monitoramento do 1º quadrimestre de 2024?',)","('Como faço para incluir um produto no PPA?',)","('Qual a data de abertura do monitoramento do 1º quadrimestre de 2024?',)","('O que é o Plano Plurianual?',)","('O que é o Plano Plurianual?',)"
"Já temos resolução de monitoramento do PPA para o ano ""preencher o ano vigente""?","('Como se dá a atividade de monitoramento do Plano Plurianual (PPA)?',)","('Quais são as etapas do monitoramento do PPA?',)","('Quais são as etapas do monitoramento do PPA?',)","('O que é o Plano Plurianual?',)","('Como classificar as situações dos produtos no período de monitoramento?',)","('Como se dá a atividade de monitoramento do Plano Plurianual (PPA)?',)","('Quais são as etapas do monitoramento do PPA?',)","('O que é o Plano Plurianual?',)","('O que é o Plano Plurianual?',)"
Quando será disponibilizado o SIPLAG para lançamento dos dados (metas) do respectivo quadrimestre do PPA (inserir o ano vigente),"('Quando devo informar os resultados alcançados pelos indicadores de resultado do meu órgão?',)","('Quais são as etapas do monitoramento do PPA?',)","('Para a atividade de revisão, qual momento devo inserir as informações no SIPLAG? ',)","('O que é o Plano Plurianual?',)","('Para a atividade de revisão, qual momento devo inserir as informações no SIPLAG? ',)","('Qual a relação entre PPA, LDO e LOA?',)","('Para a atividade de revisão, qual momento devo inserir as informações no SIPLAG? ',)","('O que é o Plano Plurianual?',)","('O que é o Plano Plurianual?',)"
"Quando sera disponibilizado o SIPLAG para lancamento do relatorio do ""citar quadrimestre"" Quadrimestre do  PPA ""citar o exercício""?","('Quando devo informar os resultados alcançados pelos indicadores de resultado do meu órgão?',)","('Qual o site da Redeplan?',)","('É necessário criar processo SEI para realizar or processos do PPA?',)","('O que é o Plano Plurianual?',)","('Quando devo informar os resultados alcançados pelos indicadores de resultado do meu órgão?',)","('Como gerar relatórios no SIPLAG?',)","('É necessário criar processo SEI para realizar or processos do PPA?',)","('O que é o Plano Plurianual?',)","('O que é o Plano Plurianual?',)"
"Apenas aparece o 1 e 2 quadrimestre. No email recebido, solicita-se que os dados sejam lançados no sistema... Já está disponível para lançamento ou é necessário esperar uma data específica?
","('As informações do meu indicador estão desatualizadas. Posso solicitar alterações do indicador no momento do monitoramento?',)","('O que são as ASPLOs?',)","('O que é uma iniciativa?',)","('O que é o Plano Plurianual?',)","('Como saber se meu programa é definido como serviço à sociedade ou de serviço ao estado? Quais as diferenças entre os dois tipos?',)","('O que é uma iniciativa?',)","('O que é uma iniciativa?',)","('O que é o Plano Plurianual?',)","('O que é o Plano Plurianual?',)"
